"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";
"C1";"2.2u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"54";"";"C";
"C2";"0.2u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"54";"";"C";
"C3";"0.2u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"54";"";"C";
"C4";"0.2u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"54";"";"C";
"C5";"22n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C6";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C7";"1n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C8";"220u";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"23";"";"C";
"C9";"330n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C10";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C11";"220u";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"23";"";"C";
"C22";"100n";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"16";"";"C";
"C25";"6800p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C26";"6800p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C28";"6800p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C29";"6800p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C40";"6800p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"C41";"6800p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"C";
"DRV8300D1";"DRV8300D";"DRV8300D";"DRV8300D";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"XT60PW-M";"XT60PW-M";"AMASS_XT60PW-M";"";"Unavailable";" ";"AMASS";"XT60PW-M ";"";"";"";"Package Analog Devices";"";"None";"";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"91";"";"";
"JP3";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"91";"";"";
"LED1";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"26";"";"";
